ID_ESTABLECIMIENTO,Nombre del Establecimiento,Cadena Hotelera,Titular - Propiedad,CIF,País,Comunidad Autónoma,Isla,Municipio,Dirección Completa,Habitaciones,Plazas,Responsable Local,Cargo Local,Email Local,Responsable Corp,Cargo Corp,Email Corp,Edificio Prioritario,Servicio A01,Servicio A02,Servicio A03,Fecha Apertura,Fecha Cierre,STATUS
HS-454,Iberostar Waves Royal Andalus,Iberostar Hotels,,,1 España,Andalucía- Cádiz,,Chiclana de la Frontera," Calle Amílcar Barca, Urbanización Novo Sancti Petri s/n, 11130 Chiclana de la Frontera, Cádiz",549,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-455,Iberostar Waves Saïdia,Iberostar Hotels,,,6 Morocco,Morocco,,,"Hôtel Med Azur S.A. BP Nº 331, Saidia 60600, Marruecos",484,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-456,Iberostar Waves Slavija,Iberostar Hotels,,,4 Montenegro,Montenegro,,,"1 Veljka Vlahovića, Budva, Montenegro",125,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-457,IFA Altamarena,Lopesan Hotels,,,Spain,Canary Islands,Fuerteventura,Morro Jable,"Av. del Saladar, 28, 35625 Morro Jable, Las Palmas",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-458,Ikos Andalusia,Ikos Resorts,,,Spain,Andalucía,,Estepona,"N-340, Km 164, 29680 Estepona, Málaga",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-459,Ikos Porto Petro,Ikos Resorts,,,Spain,Balearic Islands,,Portopetro,"Carrer d'es Far, 16, 07691 Portopetro, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-460,Il Forno Via Mare,Il Forno,,,Spain,Balearic Islands,Mallorca,Can Pastilla,"Avinguda de Bartomeu Riutort, 51, 07610 Can Pastilla, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-461,Instituto Canario de Investigaciones Agrarias,Instituto Canario de Investigaciones Agrarias,,,Spain,Canary Islands,Tenerife,La Laguna," TF-156, 168, 38297 La Laguna, Santa Cruz de Tenerife",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-462,Isla Mallorca,Negresco e Isla Mallorca,,,Spain,Balearic Islands,,Cales de Mallorca,"Carrer de Cala Antena, s/n, 07689 Cales de Mallorca, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-463,Jevule Restaurante,Satocan Turismo,,,Spain,Canary Islands,Gran Canaria,San Bartolomé de Tirajana,"San Bartolomé de Tirajana, Las Palmas, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-464,JOIA El Mirador by Iberostar,Iberostar Hotels,,,Spain,Canary Islands,Tenerife,Costa Adeje,"Av. de Bruselas, s/n, 38660 Costa Adeje, Santa Cruz de Tenerife",105,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-465,Juniper Serra,Juniper Serra,,,Spain,Balearic Islands,,,,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-466,JW Marriott Hotel Madrid,AC Hoteles - Grupo Belagua,,,Spain,Madrid,,Madrid,"C. de Sevilla, 2, Centro, 28014 Madrid",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-467,Kamaleónico,Kamaleónico y Marino Portixol,,,Spain,Balearic Islands,,,"La Rambla, 20, Centre, 07003 Palma, Illes Balears, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-468,Kumara Serenoa,Lopesan Hotels,,,Spain,Canary Islands,Gran Canaria,Maspalomas,"Av. Touroperador Fritidsresor, 4",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-469,Kyrat Amarac,Kyrat Hotels,,,Spain,Balearic Islands,Mallorca,Son Servera,"Carrer de la Vinya del Mar, 1, 07560 Son Servera, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-470,Kyrat Amarac Suites,Kyrat Hotels,,,Spain,Balearic Islands,Mallorca,Son Servera,"Carrer de la Vinya del Mar, 4, 07560 Son Servera, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-471,L'Artista Can Pastilla,L'Artista Pizzeria,,,Spain,Balearic Islands,Mallorca,Can Pastilla,Calle Palangres 10,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-472,L'Artista Central de Producción,L'Artista Pizzeria,,,Spain,Balearic Islands,,,,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-473,L'Artista Paseo Marítimo,L'Artista Pizzeria,,,Spain,Balearic Islands,Mallorca,Palma,"Av. de Gabriel Roca, 34",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-474,L'Artista Son Moix ,L'Artista Pizzeria,,,Spain,Balearic Islands,Mallorca,Palma,"Camí dels Reis, 138 ",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-475,"La Isla Café (World Duty Free Group, SAU)",Quimicral,,,Spain,Balearic Islands,Mallorca,Palma,"Palma, Illes Balears, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-476,La Quinta Food,Catalonia Hotels,,,Spain,Catalonia,,Barcelona,"Pl. d'Espanya, 8, Sants-Montjuïc, 08014 Barcelona",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-477,Làlia,Club Social Laila,,,Spain,Balearic Islands,Mallorca,Palma,"Carrer d'En Morei, 2, Centre, 07001 Palma, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-478,Lavandería Interhotelera,Lopesan Hotels,,,Spain,Canary Islands,Gran Canaria,San Bartolomé de Tirajana,"35118, Las Palmas, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-479,Leonardo Hotel Port Portals,Leonardo Hotels,,,Spain,Balearic Islands,Mallorca,Son Servera,"Carrer de la Vinya del Mar, 4, 07560 Son Servera, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-480,Leonardo Royal Hotel Barcelona Forum,Leonardo Hotels,,,Spain,Catalonia,,Barcelona,"Pg. del Taulat, 278, Sant Martí, 08019 Barcelona",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-481,Lindner Golf Resort Portals Nous,Lindner,,,Spain,Balearic Islands,,Portals Nous," Arquitecto Francisco Casas, 18, 07181 Portals Nous, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-482,Lizarann Mallorca Fashion Outlet,Quimicral,,,Spain,Balearic Islands,Mallorca,Marratxí,"Ma-13, Km 7,1, 07141 Inca, Illes Balears, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-483,Lloret Santa Rosa,Pierre et Vacances,,,Spain,Cataluña,,Girona,"Carrer de la Sénia del Barral, 39,  Lloret de Mar, ",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-484,Lobster Club,Grupo Cappuccino,,,Spain,Balearic Islands,,Portals Nous,"Passatge a la Mar, 1, 07181 Portals Nous, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-485,Lopesan Baobab,Lopesan Hotels,,,Spain,Canary Islands,Gran Canaria,Meloneras,"C. Mar Adriático, 1, 35100 Meloneras, Las Palmas",677,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-486,Lopesan Central Bellavista,Lopesan Hotels,,,Spain,Canary Islands,Gran Canaria,San Bartolomé de Tirajana,"C. Partera Leonorita, 8, 35100 Maspalomas, Las Palmas, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-487,Lopesan Costa Meloneras,Lopesan Hotels,,,Spain,Canary Islands,Gran Canaria,Meloneras,"C. Mar Mediterráneo, 1, 35100 Meloneras, Las Palmas",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-488,Lopesan Villa del Conde,Lopesan Hotels,,,Spain,Canary Islands,Gran Canaria,Meloneras,"C. Mar Mediterráneo, 7, 35100 Meloneras, Las Palmas",561,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-489,L´Hermitage Hotel&Spa,Negresco e Isla Mallorca,,,Spain,Balearic Islands,,Orient,"Carretera de Alaró a Bunyola, Km 8, 07349 Orient",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-490,M House,UR Hotels,,,Spain,Balearic Islands,Mallorca,Palma,"Carrer de Can Maçanet, 1A, Centre, 07003 Palma, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-491,Madrid Eurobuilding 2,Pierre et Vacances,,,Spain,Madrid,,Madrid,Calle Orense 69,0,0,,,,,,,NO,NO,NO,NO,,,Activo
